매장이름,위도주소,경도주소,매장타입,매장주소,시도
평택대DT,36.9933627,127.1346334,generalDT,경기도 평택시 서동대로 3847 (용이동),경기도
평택고덕,37.04023607,127.051186,general,경기도 평택시 고덕면 고덕여염9길 38 ,경기도
평택이마트,37.0209352,127.0760109,general,경기도 평택시 영신로 29 (지제동),경기도
평택세교DT,37.00734059,127.0787978,generalDT,경기도 평택시 경기대로 625 (세교동),경기도
평택팽성DT,36.95483636,127.0599567,generalDT,경기도 평택시 팽성읍 팽성로 221 경기도 평택시 팽성읍 팽성로 221,경기도
평택비전DT,37.01125384,127.1046309,generalDT,경기도 평택시 비전4로 180 (비전동),경기도
주엽강선,37.66632598,126.7667887,general,"경기도 고양시 일산서구 중앙로 1371 (주엽동, 강선마을13단지아파트)",경기도
일산가로수길,37.66571194,126.7571794,general,경기도 고양시 일산서구 주엽로 80 (대화동),경기도
일산가구단지,37.69956958,126.7566721,general,경기도 고양시 일산서구 하이파크2로 67 (덕이동),경기도
일산덕이DT,37.69194734,126.7566743,generalDT,경기도 고양시 일산서구 탄중로 106 (덕이동),경기도
일산후곡,37.6773867,126.7675699,general,경기도 고양시 일산서구 일산로 541 (일산동),경기도
더타운몰킨텍스,37.662238,126.743981,general,경기도 고양시 일산서구 킨텍스로 171,경기도
일산탄현제니스,37.69416901,126.7636968,general,경기도 고양시 일산서구 일현로 97-11 (일산위브더제니스스퀘어1동147~151),경기도
대화역,37.6753761,126.7481894,general,"경기도 고양시 일산서구 중앙로 1559, 시티타워 1~2층 (대화동)",경기도
일산주엽,37.669903,126.762657,general,"경기도 고양시 일산서구 중앙로 1420, 1층 (주엽동)",경기도
현대킨텍스,37.668128,126.751207,general,경기도 고양시 일산서구 호수로 817 (대화동),경기도
문촌사거리,37.6726483,126.7566127,general,경기도 고양시 일산서구 중앙로 1470 (주엽동),경기도
일산탄현동,37.6951672,126.7644783,general,경기도 고양시 일산서구 일현로 91 (탄현동),경기도
풍무역DT,37.61036979,126.7375282,generalDT,경기도 김포시 김포대로 657 (풍무동),경기도
풍무사거리DT,37.60784497,126.7228369,generalDT,경기도 김포시 풍무로 137 ,경기도
김포아이앤씨,37.638769,126.680464,general,경기도 김포시 태장로 779 (장기동),경기도
김포구래,37.645803,126.629073,general,"경기도 김포시 김포한강4로 487 (구래동, 한강신도시 반도유보라 4차)",경기도
김포장기커낼,37.63960023,126.6776481,general,"경기도 김포시 김포한강2로 41 (장기동, e편한세상 캐널시티)",경기도
김포감정DT,37.624786,126.696429,generalDT,경기도 김포시 중봉로 27 (감정동),경기도
김포운양,37.6543091,126.6841727,general,경기도 김포시 김포한강11로 288-32,경기도
김포이마트,37.64443674,126.6282296,general,경기도 김포시 김포한강7로 71,경기도
김포풍무DT,37.600112,126.720441,generalDT,경기도 김포시 풍무로 45 (풍무동),경기도
김포시청,37.618396,126.717912,general,경기도 김포시 사우중로 35 (사우동),경기도
김포장기,37.644239,126.667908,general,"경기도 김포시 김포한강4로 117, 홍우프라자 102~105호 (장기동)",경기도
김포통진DT,37.68293389,126.6190997,generalDT,경기도 김포시 통진읍 김포대로 2026 ,경기도
김포현대아울렛3층,37.59932841,126.7855806,general,경기도 김포시 고촌읍 아라육로152번길 100 ,경기도
김포구래DT,37.63477684,126.6276161,generalDT,경기도 김포시 양촌읍 봉수대로 1871 ,경기도
김포석모DT,37.65127888,126.64988,generalDT,"경기도 김포시 양촌읍 김포한강4로301 1,2층",경기도
김포걸포,37.631846,126.702037,general,"경기도 김포시 걸포2로 83 (걸포동, 한강메트로자이1단지)",경기도
김포양촌역DT,37.6476357,126.6197333,generalDT,"경기도 김포시 양촌읍 김포한강10로 236 구래리 259-1, 260, 262, 262-1 , 262-2, 260-6, 260-7",경기도
김포마산역,37.63746854,126.6444159,general,경기도 김포시 김포한강8로 172 (마산동),경기도
김포한강로DT,37.65075236,126.6546531,generalDT,경기도 김포시 양촌읍 김포한강4로 257 ,경기도
부천상동역,37.50621,126.75427,general,경기도 부천시 원미구 길주로 105 (상동),경기도
스타필드부천,37.46116241,126.8135101,general,경기도 부천시 소사구 옥길로 1 (옥길동),경기도
부천옥길,37.46765574,126.8233172,general,경기도 부천시 소사구 옥길로 118 (옥길동),경기도
부천심곡DT,37.492932,126.78441,generalDT,경기도 부천시 원미구 부천로 97 (심곡동),경기도
뉴코아부천,37.504279,126.756992,general,경기도 부천시 원미구 송내대로 239 (상동),경기도
중동이마트,37.50406454,126.7635452,general,경기도 부천시 원미구 석천로 188 (중동),경기도
부천중동DT,37.4963743,126.7642,generalDT,경기도 부천시 원미구 부흥로 193 (중동),경기도
부천신중동역,37.5037646,126.7741439,reserve,경기도 부천시 원미구 길주로 281 (중동),경기도
역곡역DT,37.4835239,126.8093104,generalDT,경기도 부천시 소사구 경인로 485 (괴안동),경기도
부천중동,37.497976,126.77702,general,경기도 부천시 원미구 신흥로 161 (중동),경기도
부천시청역,37.50515529,126.7626907,general,경기도 부천시 원미구 길주로 181 (중동),경기도
현대중동,37.50451371,126.7606514,general,경기도 부천시 원미구 길주로 180 (중동),경기도
부천플레이도시,37.50030233,126.7438512,general,경기도 부천시 원미구 조마루로 2 (상동),경기도
송내역,37.488389,126.752604,general,경기도 부천시 원미구 부일로 204 (상동),경기도
부천상동,37.50535749,126.7525537,general,경기도 부천시 원미구 상동로 87 (상동),경기도
부천상일로,37.49123839,126.7556251,general,경기도 부천시 원미구 상일로 120 (상동),경기도
중동삼성,37.50318117,126.7706161,general,경기도 부천시 원미구 길주로 254 (중동),경기도
부천역,37.483904,126.782295,general,경기도 부천시 소사구 부천로 1 (심곡본동),경기도
부천옥길DT,37.4720219,126.8160956,generalDT,경기도 부천시 소사구 양지로 119 (옥길동),경기도
부천상동DT,37.51568183,126.7585755,generalDT,경기도 부천시 원미구 평천로 611 (상동),경기도
부천원종DT,37.52973395,126.8054512,generalDT,경기도 부천시 오정구 소사로 826 (원종동),경기도
부천중동센트럴,37.501698,126.768647,general,"경기도 부천시 원미구 소향로 181 (중동, 센트럴파크 푸르지오)",경기도
춘의역DT,37.50308,126.78546,generalDT,경기도 부천시 원미구 길주로 386 (춘의동),경기도
신중동,37.5003106,126.7764634,general,경기도 부천시 원미구 신흥로 187 (중동),경기도
소사역,37.48165,126.79493,general,"경기도 부천시 소사구 경인옛로 25 (소사본동, 부천 한신더휴 메트로)",경기도
광교갤러리아9F,37.28534346,127.0572352,general,경기도 수원시 영통구 광교호수공원로 320 (하동),경기도
수원법조타운,37.29184,127.067164,general,경기도 수원시 영통구 광교중앙로248번길 7-2 (하동),경기도
광교역,37.30058563,127.044101,general,경기도 수원시 영통구 대학로 47 (이의동),경기도
광교엘포트R,37.2869954,127.0577815,reserve,경기도 수원시 영통구 광교중앙로 145 (이의동),경기도
영통R,37.24560504,127.0621587,reserve,경기도 수원시 영통구 덕영대로 1566 (영통동),경기도
수원망포DT,37.2458277,127.05134,generalDT,경기도 수원시 영통구 덕영대로 1467,경기도
수원광교,37.29026201,127.0497619,general,경기도 수원시 영통구 센트럴타운로 85 (이의동) 광교c1호반베르디움,경기도
수원트레이더스,37.24631443,127.0480255,general,경기도 수원시 영통구 삼성로 2 트레이더스수원점 (신동),경기도
경희대국제캠퍼스,37.247951,127.076749,general,경기도 수원시 영통구 덕영대로 1695 (영통동),경기도
수원망포역,37.24521155,127.0562074,general,경기도 수원시 영통구 영통로 195 (망포동),경기도
광교이마트,37.2962004,127.0465643,general,경기도 수원시 영통구 광교로 191(이의동),경기도
수원영통,37.25560842,127.0746453,general,"경기도 수원시 영통구 봉영로 1617, 훼미리타워 1층 (영통동)",경기도
수원매탄,37.25805326,127.0454234,general,경기도 수원시 영통구 효원로 400 (매탄동),경기도
광교갤러리아6F,37.28539753,127.0572183,general,경기도 수원시 영통구 광교중앙로 124 (하동),경기도
광교더샵레이크시티,37.270796,127.060012,general,경기도 수원시 영통구 광교호수공원로 20 (원천동),경기도
수원청명,37.25460456,127.0782921,general,경기도 수원시 영통구 청명로 88 (영통동),경기도
광교SK뷰레이크41F,37.28749329,127.060073,general,경기도 수원시 영통구 법조로 25 (하동),경기도
안산한양대,37.300847,126.838212,general,"경기도 안산시 상록구 성안길 82-3, B동 1층 (사동)",경기도
안산한대앞역,37.308754,126.851175,general,"경기도 안산시 상록구 광덕1로 379, 한남빌딩 1~2층 (이동)",경기도
